Protocol #	Country	Site #	Site Status	Site Enroll Status	PI Last Name	PI First Name	Account	Site Clin Complete - Actual	CTP Complete Date - Actual	Data Refresh Date
AI444-046	Spain	57	Selected	Completed	Andrade	Raul	Hospital Universitario Virgen De La Victoria	6/26/2017 0:00	10/30/2012 0:00	12/7/2018
AI444-046	Sweden	63	Clinically Complete	Completed	Weiland	Ola	"Karolinska University Hospital, Huddinge"	9/28/2016 0:00	6/4/2012 0:00	12/7/2018
AI444-046	Sweden	64	Clinically Complete	Completed	Norkrans	Gunnar	Sahlgrenska University Hospital/Ostra	8/17/2016 0:00	5/4/2012 0:00	12/7/2018
AI444-046	Taiwan	186	Clinically Complete	Completed	Peng	Cheng-Yuan	China Medical University Hospital	4/18/2017 0:00	11/15/2013 0:00	12/7/2018
AI444-046	Taiwan	187	Cancelled	Not Recruiting	Lin	Chun-Che	Chung-Shan Medical University Hospital			12/7/2018
AI444-046	Taiwan	188	Cancelled	Not Recruiting	Kao	Jia-Horng	National Taiwan University Hospital			12/7/2018
AI444-046	Taiwan	189	Cancelled	Not Recruiting	Chang	Ting-Tsung	National Cheng Kung University Hospital			12/7/2018
AI444-046	Taiwan	196	Cancelled	Not Recruiting	Chu	Chi-Jen	Taipei Veterans General Hospital			12/7/2018
AI444-046	USA	1	Clinically Complete	Completed	Bhalla	Narinder	Alabama Liver & Digestive Specialists (Alds)	1/16/2014 0:00	3/30/2012 0:00	12/7/2018
AI444-046	USA	2	Clinically Complete	Completed	Ankoma-Sey	Victor	Liver Associates Of Texas	10/14/2015 0:00	3/2/2012 0:00	12/7/2018
AI444-046	USA	3	Cancelled	Cancelled	Brau	Norbert	James J Peters Vamc			12/7/2018
AI444-046	USA	4	Clinically Complete	Completed	Di Bisceglie	Adrian	Saint Louis University	4/4/2016 0:00	4/25/2013 0:00	12/7/2018
AI444-046	USA	5	Cancelled	Cancelled	Enayati	Pedram	California Liver Institute			12/7/2018
AI444-046	USA	6	Clinically Complete	Completed	Everson	Gregory	University Of Colorado Denver & Hospital	11/14/2017 0:00	4/2/2012 0:00	12/7/2018
AI444-046	USA	7	Clinically Complete	Completed	Fried	Michael	University Of North Carolina At Chapel Hill School Of Med	1/25/2017 0:00	3/13/2013 0:00	12/7/2018
AI444-046	USA	8	Clinically Complete	Completed	Ghalib	Reem	Texas Clinical Research Institute	4/2/2018 0:00	9/4/2012 0:00	12/7/2018
AI444-046	USA	9	Cancelled	Cancelled	Good	Gary	"Upper Delaware Valley Infectious Diseases, Pc"			12/7/2018
AI444-046	USA	10	Clinically Complete	Completed	Lawitz	Eric	Alamo Medical Research	5/29/2018 0:00	3/6/2012 0:00	12/7/2018
AI444-046	USA	11	Clinically Complete	Completed	Levin	James	Ssm Health Dean Med Group	3/21/2018 0:00	4/19/2012 0:00	12/7/2018
AI444-046	USA	117	Cancelled	Cancelled	Barry	Curtis	UMass Memorial Medical Center			12/7/2018
AI444-046	USA	12	Clinically Complete	Completed	Lim	Joseph	Yale New Haven Hospital	5/3/2017 0:00	11/12/2012 0:00	12/7/2018
AI444-046	USA	13	Cancelled	Cancelled	Maliakkal	Benedict	University Of Rochester Medical Center			12/7/2018
AI444-046	USA	137	Clinically Complete	Completed	Styne	Phillip	Florida Hospital Transplant Center	7/7/2014 0:00	11/20/2012 0:00	12/7/2018
AI444-046	USA	14	Clinically Complete	Completed	Morris	David	Healthcare Research Consultants	2/21/2018 0:00	5/2/2012 0:00	12/7/2018
AI444-046	USA	141	Clinically Complete	Completed	Park	James Sungsik	Nyu Medical Center	8/19/2016 0:00	1/17/2013 0:00	12/7/2018
AI444-046	USA	142	Clinically Complete	Completed	Masuoka	Howard	Indiana University	3/22/2018 0:00	2/27/2013 0:00	12/7/2018
AI444-046	USA	148	Cancelled	Cancelled	Jacobson	Ira	Weill Cornell Medical College			12/7/2018
AI444-046	USA	149	Cancelled	Cancelled	Fessel	Walford Jeffrey	Kaiser Permanente Medical Center			12/7/2018
AI444-046	USA	15	Cancelled	Cancelled	Nelson	David	UF Health Clinical Research Center			12/7/2018
AI444-046	USA	150	Clinically Complete	Completed	Hassanein	Tarek	Southern California Research Center	6/13/2017 0:00	10/14/2013 0:00	12/7/2018
AI444-046	USA	151	Clinically Complete	Completed	Hinestrosa	Federico	Orlando Immunology Center	3/12/2018 0:00	3/6/2013 0:00	12/7/2018
AI444-046	USA	152	Clinically Complete	Completed	Bennett	Michael	Medical Associates Research Group	8/13/2018 0:00	3/11/2013 0:00	12/7/2018
AI444-046	USA	153	Clinically Complete	Completed	Luketic	Velimir	Mcguire Dvamc	12/11/2017 0:00	3/15/2013 0:00	12/7/2018
AI444-046	USA	154	Cancelled	Cancelled	Harrison	Stephen	Brooke Army Medical Center			12/7/2018
AI444-046	USA	155	Clinically Complete	Completed	Zamor	Philippe	Carolinas Medical Center	11/3/2016 0:00	4/16/2013 0:00	12/7/2018
AI444-046	USA	156	Cancelled	Cancelled	Towner	William	Southern California Permanente Medical Group			12/7/2018
AI444-046	USA	16	Clinically Complete	Completed	O'Brien	Christopher	Schiff Center for Liver Diseases	4/6/2018 0:00	4/16/2013 0:00	12/7/2018
AI444-046	USA	164	Cancelled	Cancelled	Nguyen	Tuan	"Research And Education, Inc."			12/7/2018
AI444-046	USA	17	Clinically Complete	Completed	Pockros	Paul	Scripps Clinic	11/28/2017 0:00	4/20/2012 0:00	12/7/2018
AI444-046	USA	173	Cancelled	Cancelled	Bernstein	David	North Shore University Hospital			12/7/2018
AI444-046	USA	174	Cancelled	Cancelled	Gordon	Stuart	Henry Ford Health System			12/7/2018
AI444-046	USA	175	Clinically Complete	Completed	Yoffe	Boris	MEDVAMC	11/9/2016 0:00	7/26/2013 0:00	12/7/2018
AI444-046	USA	178	Clinically Complete	Completed	Webster	Lynn	Lifetree Clinical Research	8/8/2017 0:00	8/15/2013 0:00	12/7/2018
AI444-046	USA	179	Cancelled	Cancelled	Firpi-Morell	Roberto	UF Health Clinical Research Center			12/7/2018
AI444-046	USA	18	Clinically Complete	Completed	Ravendhran	Natarajan	"Digestive Disease Associates, P.A."	3/26/2018 0:00	7/31/2013 0:00	12/7/2018
AI444-046	USA	19	Clinically Complete	Completed	Reindollar	Robert	Carolinas Center For Liver Disease	11/9/2017 0:00	2/7/2012 0:00	12/7/2018
AI444-046	USA	190	Cancelled	Cancelled	Sherman	Kenneth	University of Cincinnati Physicians Company			12/7/2018
AI444-046	USA	191	Cancelled	Cancelled	Pungpapong	Surakit	Mayo Clinic Transplant Department			12/7/2018
AI444-046	USA	193	Cancelled	Cancelled	Kugelmas	Marcelo	"South Denver Gastroenterology, Pc"			12/7/2018
AI444-046	USA	194	Clinically Complete	Completed	Jayaweera	Dushyantha	University Of Miami School Of Medicine	9/8/2016 0:00	9/12/2013 0:00	12/7/2018
AI444-046	USA	195	Clinically Complete	Completed	Desta	Taddese	"Precision Research Institute, Llc"	3/13/2018 0:00	10/17/2013 0:00	12/7/2018
AI444-046	USA	203	Clinically Complete	Completed	Rafiq	Nila	Inova Fairfax Hospital	3/22/2018 0:00	9/18/2013 0:00	12/7/2018
AI444-046	USA	21	Clinically Complete	Completed	Rustgi	Vinod	Metropolitan Research	2/27/2014 0:00	2/8/2012 0:00	12/7/2018
AI444-046	USA	212	Clinically Complete	Completed	Adams	James	Southwest Care Center	4/3/2018 0:00	7/3/2014 0:00	12/7/2018
AI444-046	USA	213	Clinically Complete	Completed	Landis	Charles	Harborview Medical Center	3/19/2018 0:00	1/30/2015 0:00	12/7/2018
AI444-046	USA	214	Clinically Complete	Completed	Pushkin	Richard	Quest Clinical Research	3/12/2018 0:00	10/1/2014 0:00	12/7/2018
AI444-046	USA	215	Clinically Complete	Completed	Mills	Anthony	Anthony M. Mills Md Inc	5/17/2018 0:00	1/2/2015 0:00	12/7/2018
AI444-046	USA	216	Clinically Complete	Completed	Ruane	Peter	Peter J Ruane Md Inc	2/1/2018 0:00	11/13/2014 0:00	12/7/2018
AI444-046	USA	217	Clinically Complete	Completed	Scarsella	Anthony	Pacific Oaks Medical Group	4/12/2018 0:00	10/24/2014 0:00	12/7/2018
AI444-046	USA	218	Clinically Complete	Completed	Yozviak	Joseph	Lehigh Valley Health Network	3/13/2018 0:00	1/8/2015 0:00	12/7/2018
AI444-046	USA	22	Cancelled	Cancelled	Schwartz	Howard	Miami Research Associates			12/7/2018
AI444-046	USA	221	Clinically Complete	Completed	Shiffman	Mitchell	"Bon Secours St. Mary's Hospital of Richmond, Inc."	4/5/2018 0:00	10/10/2017 0:00	12/7/2018
AI444-046	USA	222	Clinically Complete	Completed	Huhn	Gregory	Ruth M. Rothstein CORE Center	4/5/2018 0:00	10/25/2017 0:00	12/7/2018
AI444-046	USA	223	Clinically Complete	Completed	Kim	Brian	"Keck Medical Center of USC, HCC 1"	3/22/2018 0:00	9/12/2017 0:00	12/7/2018
AI444-046	USA	224	Cancelled	Cancelled	Peyton	Adam	Eastern Pennsylvania Gastroenterology and Liver Specialists			12/7/2018
AI444-046	USA	225	Clinically Complete	Completed	Sheikh	Aasim	Gastrointestinal Specialists Of Georgia	3/29/2018 0:00	9/6/2017 0:00	12/7/2018
AI444-046	USA	227	Clinically Complete	Completed	Terrault	Norah	U.Cal.-San Francisco	4/3/2018 0:00	11/28/2017 0:00	12/7/2018
AI444-046	USA	228	Cancelled	Cancelled	Mantry	Parvez	The Liver Institute At Methodist Dallas			12/7/2018
AI444-046	USA	23	Cancelled	Cancelled	Sepe	Thomas	University Gastroenterology			12/7/2018
AI444-046	USA	24	Clinically Complete	Completed	Sulkowski	Mark	Johns Hopkins University	6/11/2014 0:00	12/3/2013 0:00	12/7/2018
AI444-046	USA	25	Clinically Complete	Completed	Tatum	Harvey	Mayo Clinic Rochester	11/8/2017 0:00	3/16/2012 0:00	12/7/2018
AI444-046	USA	26	Clinically Complete	Completed	Thuluvath	Paul	Mercy Medical Center	1/31/2018 0:00	4/11/2012 0:00	12/7/2018
AI444-046	USA	27	Clinically Complete	Completed	Vierling	John	Baylor College Of Medicine	3/29/2018 0:00	5/14/2012 0:00	12/7/2018
AI444-046	USA	28	Clinically Complete	Completed	Martorell	Claudia	The Research Institute	7/30/2013 0:00	7/23/2012 0:00	12/7/2018
AI444-046	USA	37	Clinically Complete	Completed	Reddy	Rajender	University Of Pennsylvania School Of Medicine	2/6/2018 0:00	7/23/2013 0:00	12/7/2018
AI444-046	USA	99	Clinically Complete	Completed	Lok	Anna	University Of Michigan	4/26/2018 0:00	7/10/2012 0:00	12/7/2018
AI444-046	USA	100	Clinically Complete	Completed	Younes	Ziad	Gastro One	11/30/2017 0:00	7/3/2013 0:00	12/7/2018
AI444-046	USA	118	Clinically Complete	Completed	Zaman	Atif	Oregon Health & Science University	3/6/2018 0:00	4/17/2013 0:00	12/7/2018
AI444-046	USA	119	Clinically Complete	Completed	Pruitt	Ronald	Nashville Medical Research Institute	11/23/2015 0:00	11/28/2012 0:00	12/7/2018
AI444-046	United Kingdom	143	Cancelled	Not Recruiting	Nelson	Mark	Chelsea And Westminster Hospital			12/7/2018
AI444-046	United Kingdom	144	Clinically Complete	Completed	Forton	Daniel	St. George'S Healthcare Nhs Trust	3/15/2018 0:00	3/4/2014 0:00	12/7/2018
AI444-046	United Kingdom	145	Cancelled	Not Recruiting	Leen	Clifford	Western General Hospital			12/7/2018
AI444-046	United Kingdom	146	Cancelled	Not Recruiting	Mutimer	David	Queen Elizabeth Hospital			12/7/2018
AI444-046	United Kingdom	147	Cancelled	Not Recruiting	Fox	Ray	Gartnaval General Hospital			12/7/2018
AI444-046	United Kingdom	73	Clinically Complete	Completed	Agarwal	Kosh	Kings College Hospital	5/8/2018 0:00	8/31/2012 0:00	12/7/2018
AI444-046	United Kingdom	74	Clinically Complete	Completed	Brown	Ashley	Imperial College London	4/20/2018 0:00	9/3/2012 0:00	12/7/2018
AI444-046	United Kingdom	75	Cancelled	Cancelled	Foster	Graham	Barts And The London School Of Medicine And Dentistry			12/7/2018
AI444-046	United Kingdom	76	Clinically Complete	Completed	Priest	Matthew	Gartnaval General Hospital	11/3/2015 0:00	7/19/2012 0:00	12/7/2018
AI444-046	United Kingdom	77	Clinically Complete	Completed	Uriel	Alison	North Manchester General Hospital	4/13/2018 0:00	7/19/2012 0:00	12/7/2018
AI444-222	France	1	Active	Not Applicable	Delfraissy	Jean-Francois	IINSERM/ANRS		12/13/2012 0:00	12/7/2018
AI444-235	USA	1	Active	Not Applicable	Choi	Jinah	University of California at Merced		3/6/2014 0:00	12/7/2018
AI444-244	Japan	1	Active	Completed	Kishimoto	Hiroshi	"Parexel International Inc, Japan"		9/3/2014 0:00	12/7/2018
AI444-279	Japan	1	Active	Not Applicable	Shimakami	Tetsuro	Kanazawa University Hospital		6/2/2014 0:00	12/7/2018
AI444-285	United Kingdom	1	Active	Not Applicable	Khoo	Saye	Royal Liverpool University Hospital		6/23/2014 0:00	12/7/2018
AI444-288	Japan	1	Active	Not Applicable	Takehara	Tetsuo	Osaka University Hospital		7/17/2014 0:00	12/7/2018
AI444-330	Mexico	1	Active	Recruiting	Mendez-Sanchez	Nahum	Medica Sur Clinic And Foundation		10/21/2015 0:00	12/7/2018
AI444-330	Mexico	2	Selected	Not Recruiting	Dehesa Violante	Margarita	Hospital Santa Coleta			12/7/2018
AI444-330	Mexico	3	Planned	Not Recruiting	Mata-Marin	Jose Antonio	Hospital De Especialidades Centro Medico Nacional La Raza			12/7/2018
AI444-330	Mexico	4	Planned	Not Recruiting	Cisneros Garza	Laura Esthela	Hospital San Jose Tec De Monterrey			12/7/2018
AI444-333	Germany	1	Active	"Active, Not Recruiting"	Wedemeyer	Heiner	Medizinische Hochschule Hannover		9/22/2014 0:00	12/7/2018
AI444-334	USA	1	Active	Not Applicable	Brown	Ashley	University Of Florida		3/6/2015 0:00	12/7/2018
AI444-335	"Korea, Republic of"	1	Active	Recruiting	Kim	Sanghee	A Plus Seoul Inc.		10/6/2015 0:00	12/7/2018
AI444-337	Japan	1	Active	Completed	Ido	Akio	Kagoshima University Hospital		11/20/2015 0:00	12/7/2018
AI444-348	Australia	1	Active	Not Applicable	Morton	Craig	St. Vincent's Institute		2/25/2015 0:00	12/7/2018
AI444-350	United Kingdom	1	Active	"Active, Not Recruiting"	Dillon	John	University of Dundee		6/21/2016 0:00	12/7/2018
AI444-361	United Kingdom	1	Active	Not Applicable	Khoo	Saye	Royal Liverpool University Hospital		9/29/2015 0:00	12/7/2018
AI444-363	Argentina	1	Active	Not Applicable	Torres	Ruben	Universidad ISALUD CETSA		4/23/2015 0:00	12/7/2018
AI444-374	United Kingdom	1	Selected	Not Recruiting	Foster	Graham	Royal London Hospital			12/7/2018
AI444-374	United Kingdom	2	Active	Not Applicable	Mutimer	David	Queen Elizabeth Hospital		9/25/2015 0:00	12/7/2018
AI444-376	Belgium	1	Active	Completed	Lasser	Luc	Chu Brugmann		6/14/2016 0:00	12/7/2018
AI444-380	Australia	1	Active	"Active, Not Recruiting"	Hellard	Margaret	Alfred Health		5/17/2016 0:00	12/7/2018
AI444-390	China	1	Active	Not Applicable	Wang	Yu	Chinese Center for Disease Control and Prevention		9/7/2018 0:00	12/7/2018
AI444-392	"Korea, Republic of"	1	Active	"Active, Not Recruiting"	Kim	Sang Gyune	Soonchunhyang University Hospital		8/31/2016 0:00	12/7/2018
AI444-396	China	1	Cancelled	Not Recruiting	Hou	Jinlin	Guangzhou Nanfang Hospital			12/7/2018
AI444-396	China	2	Active	Recruiting	Duan	Zhongping	"Beijing Youan Hospital, Capital Medical University"		4/17/2018 0:00	12/7/2018
AI444-400	Japan	1	Active	Completed	Suda	Gouki	"Hokkaido University, Graduate School Of Medicine"		8/17/2016 0:00	12/7/2018
AI444-412	China	1	Active	Recruiting	Wei	Lai	Peking University People'S Hospital		4/28/2017 0:00	12/7/2018
AI444-416	Germany	1	Active	Recruiting	Durr	Michael	Charit'E Universitatsmedizin Berlin		6/29/2017 0:00	12/7/2018
AI444-417	Argentina	1	Active	Recruiting	Marciano	Sebastian	Hospital Italiano		4/3/2017 0:00	12/7/2018
AI444-419	Argentina	1	Active	Recruiting	Ridruejo	Ezequiel	Cemic			12/7/2018
AI444-419	Brazil	2	Selected	Not Recruiting	Cheinquer	Hugo	Coelho Borges & Cheinquer Medicos Associados Ltda ME			12/7/2018
AI444-423	Australia	8	Active	Recruiting	Hardikar	Winita	The Royal Children's Hospital (RCH)		8/3/2018 0:00	12/7/2018
AI444-423	Germany	5	Active	Recruiting	Wirth	Stefan	Helios-Klinikum Wuppertal		5/18/2018 0:00	12/7/2018
AI444-423	Poland	4	Planned	Not Recruiting	Marczynska	Magdalena	The Medical University Of Warsaw - II Faculty Of Medicine Wojewodzki Szpital Zak			12/7/2018
AI444-423	Poland	6	Active	Recruiting	Majda-Stanislawska	Ewa	Wojewodzki Specjalistyczny Szpital im. dr Wl. Bieganskiego w Lodzi		11/14/2018 0:00	12/7/2018
AI444-423	Poland	7	Active	Recruiting	Gorczyca	Anna	Krakowski Szpital Specjalistyczny im. Jana Pawla II Oddzial Chorob Infekcyjnych 		11/20/2018 0:00	12/7/2018
AI444-423	Romania	1	Planned	Not Recruiting	Streinu-Cercel	Anca	Institutul De Boli Infectioase Prof. Dr. Matei Bals			12/7/2018
AI444-423	Spain	3	Active	Recruiting	Fortuny Guasch	Claudia	Hospital Sant Joan de Deu		6/21/2018 0:00	12/7/2018
AI444-423	Spain	9	Active	Recruiting	Hierro Llanillo	Loreto	Hospital Universitario La Paz		11/14/2018 0:00	12/7/2018
AI444-423	Taiwan	2	Active	Recruiting	Ni	Yen Hsuan	National Taiwan University Children's Hospital		6/4/2018 0:00	12/7/2018
AI444-427	USA	1	Active	Recruiting	Powell	Meg	Target Pharma Solutions		3/9/2018 0:00	12/7/2018
AI447-119	Canada	1	Active	Recruiting	Douglas	Donna	University Of Alberta		5/21/2015 0:00	12/7/2018
AI452-004	Australia	101	Planned	Not Recruiting	Cheng	Wendy	Royal Perth Hospital			12/7/2018
AI452-004	Australia	102	Planned	Not Recruiting	Crawford	Darrell	Greenslopes Private Hospital Dispensary			12/7/2018
AI452-004	Australia	103	Planned	Not Recruiting	Desmond	Paul	St Vincent'S Hospital			12/7/2018
AI452-004	Australia	104	Planned	Not Recruiting	George	Jacob	Westmead Hospital			12/7/2018
AI452-004	Australia	105	Planned	Not Recruiting	Harley	Hugh	Royal Adelaide Hospital			12/7/2018
AI452-004	Australia	107	Planned	Not Recruiting	Leggett	Barbara	Royal Brisbane And Woman'S Hospital			12/7/2018
AI452-004	Australia	109	Planned	Not Recruiting	Mollison	Lindsay	Fremantle Hospital			12/7/2018
AI452-004	Australia	110	Planned	Not Recruiting	Pianko	Stephen	Monash Medical Centre Clayton			12/7/2018
AI452-004	Australia	111	Planned	Not Recruiting	Strasser	Simone	Royal Prince Alfred Hospital			12/7/2018
AI452-004	Australia	112	Planned	Not Recruiting	Roberts	Stuart	The Alfred Hospital			12/7/2018
AI452-004	Australia	114	Planned	Not Recruiting	Weltman	Martin	Nepean Hospital			12/7/2018
AI452-004	Australia	116	Planned	Not Recruiting	Zekry	Amany	St. George Private Hospital			12/7/2018
AI452-004	Australia	117	Planned	Not Recruiting	Matthews	Gail	St. Vincents Hospital			12/7/2018
AI452-004	Australia	118	Planned	Not Recruiting	Nicoll	Amanda	The Royal Melbourne Hospital Human Research Ethics Committee			12/7/2018
AI452-004	Austria	201	Planned	Not Recruiting	Ferenci	Peter	Akh Wien			12/7/2018
AI452-004	Austria	202	Planned	Not Recruiting	Gschwantler	Michael	Wilhelminenspital Der Stadt Wien			12/7/2018
AI452-004	Austria	203	Planned	Not Recruiting	Bodlaj	Gerd	Akh Linz			12/7/2018
AI452-004	Austria	204	Planned	Not Recruiting	Laferl	Hermann	Kaiser Franz Josef Spital			12/7/2018
AI452-004	Austria	205	Planned	Not Recruiting	Maieron	Andreas	Kh Der Elisabethinen			12/7/2018
AI452-004	Austria	206	Planned	Not Recruiting	Stauber	Rudolf	Universitaetsklinikum Graz			12/7/2018
AI452-004	Austria	207	Planned	Not Recruiting	Vogel	Wolfgang	Med. Universitaet Innsbruck			12/7/2018
AI452-004	Canada	1301	Planned	Not Recruiting	Anderson	Frank	Liver And Intestinal Research Centre			12/7/2018
AI452-004	Canada	1302	Planned	Not Recruiting	Greenbloom	Susan	"Toronto Digestive Disease Associates, Inc."			12/7/2018
AI452-004	Canada	1303	Active	Recruiting	Lee	Samuel	University Of Calgary			12/7/2018
AI452-004	Canada	1304	Planned	Not Recruiting	Marotta	Paul	London Health Sciences Centre			12/7/2018
AI452-004	Canada	1306	Planned	Not Recruiting	Sherman	Morris	Toronto General Hospital			12/7/2018
AI452-004	France	503	Planned	Not Recruiting	De Ledinghen	Victor	Hospital Saint Joseph			12/7/2018
AI452-004	France	507	Planned	Not Recruiting	Serfaty	Lawrence	Hopital Saint Antoine			12/7/2018
AI452-004	Germany	601	Planned	Not Recruiting	Buggisch	Peter	Ifi-Studien Und Projekte Gmbh			12/7/2018
AI452-004	Germany	602	Planned	Not Recruiting	Eisenbach	Christoph	Universitaetsklinik Heidelberg			12/7/2018
AI452-004	Germany	603	Planned	Not Recruiting	Galle	Peter	Johannes -Gutenberg Universitat			12/7/2018
AI452-004	Germany	604	Planned	Not Recruiting	Gerken	Guido	Universitaetsklinikum Essen			12/7/2018
AI452-004	Germany	605	Planned	Not Recruiting	Goeser	Tobias	Universitatskliniken Koln			12/7/2018
AI452-004	Germany	606	Planned	Not Recruiting	Gregor	Michael	Universitatsklinik Tubingen			12/7/2018
AI452-004	Germany	607	Planned	Not Recruiting	Dietrich Haeussinger	Prof	Uni-Klinikum Duesseldorf			12/7/2018
AI452-004	Germany	608	Planned	Not Recruiting	Lueth	Stefan	Universitatsklinikum Hamburg-Eppendorf			12/7/2018
AI452-004	Germany	609	Planned	Not Recruiting	Manns	Michael	Medizinische Hochschule Hannover			12/7/2018
AI452-004	Germany	610	Planned	Not Recruiting	Rasenack	Jens	Universitaetsklinikum Freiburg			12/7/2018
AI452-004	Germany	612	Planned	Not Recruiting	Schmidt	Wolfgang	St. Josef Hospital			12/7/2018
AI452-004	Germany	614	Planned	Not Recruiting	Gruener	Norbert Hubert	Univ Munchen-Grosshadern			12/7/2018
AI452-004	Germany	615	Planned	Not Recruiting	Zeuzem	Stefan	Johann Wolfgang Goethe Universitaet			12/7/2018
AI452-004	Germany	616	Planned	Not Recruiting	Ramadori	Giuliano	University Of Gottingen			12/7/2018
AI452-004	Italy	804	Planned	Not Recruiting	Colombo	Massimo	Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico			12/7/2018
AI452-004	Poland	901	Planned	Not Recruiting	Baka-Cwierz	Barbara	Wojewodzkie Centrum Diagn I Terap Wzw I Hepatologii			12/7/2018
AI452-004	Poland	903	Planned	Not Recruiting	Gladysz	Andrzej	Przychodnia Przy Ul. #Owieckiej			12/7/2018
AI452-004	Poland	906	Planned	Not Recruiting	Hawro	Marcin	Centrum Medyczne W Ancucie Szpital ?W M. Archanio			12/7/2018
AI452-004	Poland	909	Planned	Not Recruiting	Olszok	Iwona	Szpital Rejonowy Im. Dr Jozefa Rostka W Raciborzu			12/7/2018
AI452-004	Poland	912	Planned	Not Recruiting	Flisiak	Robert	"Wojewodzki Szpital Specialistyczny, Im. K. Dluskiego"			12/7/2018
AI452-004	Puerto Rico	1401	Planned	Not Recruiting	Rodriguez-Torres	Maribel	Fundacion De Investigacion			12/7/2018
AI452-004	Romania	1001	Planned	Not Recruiting	Calistru	Petre	Fundatia Dr. Victor Babes			12/7/2018
AI452-004	Romania	1003	Planned	Not Recruiting	Goldis	Adrian	Cabinet Particular Policlinic Algomed Srl			12/7/2018
AI452-004	Romania	1004	Planned	Not Recruiting	Manuc	Mircea	Sc Mediclass Sananova Srl			12/7/2018
AI452-004	Romania	1006	Planned	Not Recruiting	Stanciu	Carol	Gastromedica Srl			12/7/2018
AI452-004	Spain	1101	Planned	Not Recruiting	Trapero	Maria	Hospital La Princesa			12/7/2018
AI452-004	Spain	1103	Planned	Not Recruiting	Esteban	Rafael	Hospital Vall D'Hebron			12/7/2018
AI452-004	Spain	1104	Planned	Not Recruiting	Sola	Ricard	Hospital Del Mar			12/7/2018
AI452-004	Spain	1106	Planned	Not Recruiting	Romero	Manuel	Hospital Nuestra Sra De Valme			12/7/2018
AI452-004	Spain	1107	Planned	Not Recruiting	Serra-Desfilis	Miguel Angel	Hospital Clinico Universitario De Valencia			12/7/2018
AI452-004	Spain	1108	Planned	Not Recruiting	Calleja	Jose Luis	Clinica Puerta De Hierro			12/7/2018
AI452-004	Spain	1110	Planned	Not Recruiting	Diago	Moises	Clinica Quiron			12/7/2018
AI452-004	USA	1201	Active	Recruiting	Lawitz	Eric	Alamo Medical Research			12/7/2018
AI452-004	USA	1202	Planned	Not Recruiting	Gish	Robert	California Pacific Medical Center			12/7/2018
AI452-004	USA	1203	Active	Recruiting	Muir	Andrew	Duke University Medical Center			12/7/2018
AI452-004	USA	1205	Active	Recruiting	Sulkowski	Mark	Johns Hopkins University			12/7/2018
AI452-004	USA	1206	Active	Recruiting	Ghalib	Reem	North Texas Research Institute			12/7/2018
AI452-004	USA	1207	Active	Recruiting	Dieterich	Douglas	Mt. Sinai School Of Medicine			12/7/2018
AI452-004	USA	1208	Active	Recruiting	Bacon	Bruce	Saint Louis University			12/7/2018
AI452-004	USA	1209	Active	Recruiting	Everson	Gregory	University Of Colorado Denver & Hospital			12/7/2018
AI452-004	USA	1211	Active	Recruiting	Box	Terry	University Of Utah			12/7/2018
AI452-004	USA	1212	Planned	Not Recruiting	Jacobson	Ira	Weill Medical College Of Cornell University			12/7/2018
AI452-004	USA	1213	Planned	Not Recruiting	Arora	Sanjeev	University Of New Mexico			12/7/2018
AI452-004	USA	1214	Active	Recruiting	Bernstein	David	North Shore University Hospital			12/7/2018
AI452-004	USA	1215	Active	Recruiting	De La Torre	Andrew	University Of Medicine And Dentistry Of New Jersey			12/7/2018
AI452-004	USA	1216	Planned	Not Recruiting	Gitlin	Norman	Atlanta Gastroenterology Associates			12/7/2018
AI452-004	USA	1217	Active	Recruiting	Gordon	Stuart	"Henry Ford Hospital, Transplant Institute"			12/7/2018
AI452-004	USA	1218	Active	Recruiting	Hanson	John	"Charlotte Gastroenterology & Hepatology, Pllc"			12/7/2018
AI452-004	USA	1219	Planned	Not Recruiting	Jeffers	Lennox	Bruce W. Carter Miami V.A. Healthcare System			12/7/2018
AI452-004	USA	1220	Active	Recruiting	Kerkar	Shubha	Desert Medical Group Inc.			12/7/2018
AI452-004	USA	1221	Active	Recruiting	Kugelmas	Marcelo	South Denver Gastroenterology			12/7/2018
AI452-004	USA	1222	Planned	Not Recruiting	Lim	Joseph	Yale University School Of Medicine			12/7/2018
AI452-004	USA	1223	Planned	Not Recruiting	Nelson	David	The University Of Forida College Of Medicine			12/7/2018
AI452-004	USA	1224	Active	Recruiting	Pockros	Paul	Scripps Health Dba Scripps Clinical Research Services			12/7/2018
AI452-004	USA	1226	Active	Recruiting	Reddy	Rajender	University Of Pennsylvania			12/7/2018
AI452-004	USA	1227	Planned	Not Recruiting	Reindollar	Robert	Carolinas Center For Liver Disease			12/7/2018
AI452-004	USA	1228	Active	Recruiting	Rustgi	Vinod	Metropolitan Research			12/7/2018
AI452-004	USA	1231	Active	Recruiting	Vargas	Hugo	Mayo Clinic Arizona			12/7/2018
AI452-004	USA	1232	Active	Recruiting	Vierling	John	St. Luke'S Episcopal Hospital - Baylor College Of Medicine			12/7/2018
AI452-004	USA	1233	Active	Recruiting	Yoffe	Boris	Baylor Coll. Of Med			12/7/2018
AI452-004	USA	1234	Planned	Not Recruiting	Zaman	Atif	Oregon Health & Science University			12/7/2018
